titles,Price,review
"<a class=""wjcEIp"" href=""/noise-crew-1-38-round-display-bluetooth-calling-metallic-finish-ip68-rating-smartwatch/p/itmf418910871368?pid=SMWGKXECDMVXFPGN&amp;lid=LSTSMWGKXECDMVXFPGNJXOKI0&amp;marketplace=FLIPKART&amp;store=ajy&amp;srno=b_1_1&amp;otracker=browse&amp;fm=organic&amp;iid=en_DgkKauqe0gJLHvjPsqBY75TcowCT1VN1WLqsnUOHHm3wncU36UTfzQj6e_pikDKvKrWfuF1Dtp4FnxVM6ycYYQ%3D%3D&amp;ppt=None&amp;ppn=None&amp;ssid=6xfrkvqa8g0000001753945961232"" rel=""noopener noreferrer"" target=""_blank"" title=""Noise Crew 1.38 Round Display with Bluetooth Calling, Metallic finish, IP68 Rating Smartwatch"">Noise Crew 1.38 Round Display with Bluetooth Calling, M...</a>","<div class=""Nx9bqj"">₹1,099</div>","<div class=""XQDdHH"">4.2<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
"<a class=""wjcEIp"" href=""/noise-icon-2-elite-1-8-display-metallic-body-bluetooth-calling-smartwatch/p/itmcd0e295c2fd17?pid=SMWGRZPNHFGBSDHH&amp;lid=LSTSMWGRZPNHFGBSDHHCBQLC2&amp;marketplace=FLIPKART&amp;store=ajy&amp;srno=b_1_2&amp;otracker=browse&amp;fm=organic&amp;iid=en_DgkKauqe0gJLHvjPsqBY75TcowCT1VN1WLqsnUOHHm30fgrqgNXnRqaZ1xjBgb3OUSf01w9MI9MmYHsFv4XWUQ%3D%3D&amp;ppt=None&amp;ppn=None&amp;ssid=6xfrkvqa8g0000001753945961232"" rel=""noopener noreferrer"" target=""_blank"" title=""Noise Icon 2 Elite Edition 1.8'' Display with Metallic Body and Bluetooth Calling Smartwatch"">Noise Icon 2 Elite Edition 1.8'' Display with Metallic ...</a>","<div class=""Nx9bqj"">₹1,499</div>","<div class=""XQDdHH"">4.1<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
"<a class=""wjcEIp"" href=""/noise-crew-go-1-39-display-bt-calling-metal-strap-7-days-battery-life-smartwatch/p/itm0e03c14e438f7?pid=SMWGZW3CCRQGAWW7&amp;lid=LSTSMWGZW3CCRQGAWW7EFOBHP&amp;marketplace=FLIPKART&amp;store=ajy&amp;srno=b_1_3&amp;otracker=browse&amp;fm=organic&amp;iid=9477e65d-4113-4ece-8c74-0f7d4480d207.SMWGZW3CCRQGAWW7.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=6xfrkvqa8g0000001753945961232"" rel=""noopener noreferrer"" target=""_blank"" title='Noise Crew Go with 1.39"" Display, BT Calling with Metal Strap and 7 Days Battery Life Smartwatch'>Noise Crew Go with 1.39"" Display, BT Calling with Metal...</a>","<div class=""Nx9bqj"">₹1,599</div>","<div class=""XQDdHH"">4.2<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
"<a class=""wjcEIp"" href=""/noise-colorfit-icon-2-1-8-display-bluetooth-calling-ai-voice-assistant-smartwatch/p/itm4972b80df3e9f?pid=SMWGEH7V3NRGVPQ9&amp;lid=LSTSMWGEH7V3NRGVPQ9NF6ZOC&amp;marketplace=FLIPKART&amp;store=ajy&amp;srno=b_1_4&amp;otracker=browse&amp;fm=organic&amp;iid=9477e65d-4113-4ece-8c74-0f7d4480d207.SMWGEH7V3NRGVPQ9.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=6xfrkvqa8g0000001753945961232"" rel=""noopener noreferrer"" target=""_blank"" title=""Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch"">Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...</a>","<div class=""Nx9bqj"">₹999</div>","<div class=""XQDdHH"">4.1<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
"<a class=""wjcEIp"" href=""/noise-icon-2-elite-1-8-display-metallic-body-bluetooth-calling-smartwatch/p/itmf1adf995f7288?pid=SMWGRZPKJEWYEWGU&amp;lid=LSTSMWGRZPKJEWYEWGU8BABOB&amp;marketplace=FLIPKART&amp;store=ajy&amp;srno=b_1_5&amp;otracker=browse&amp;fm=organic&amp;iid=9477e65d-4113-4ece-8c74-0f7d4480d207.SMWGRZPKJEWYEWGU.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=6xfrkvqa8g0000001753945961232"" rel=""noopener noreferrer"" target=""_blank"" title=""Noise Icon 2 Elite Edition 1.8'' Display with Metallic Body and Bluetooth Calling Smartwatch"">Noise Icon 2 Elite Edition 1.8'' Display with Metallic ...</a>","<div class=""Nx9bqj"">₹1,499</div>","<div class=""XQDdHH"">4.1<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
"<a class=""wjcEIp"" href=""/noise-crew-1-38-round-display-bluetooth-calling-metallic-finish-ip68-rating-smartwatch/p/itm54e4335189bca?pid=SMWGKXECNWDK7KKS&amp;lid=LSTSMWGKXECNWDK7KKS9WXLEL&amp;marketplace=FLIPKART&amp;store=ajy&amp;srno=b_1_6&amp;otracker=browse&amp;fm=organic&amp;iid=en_DgkKauqe0gJLHvjPsqBY75TcowCT1VN1WLqsnUOHHm1zjmIq1jL7l6vGI4isfKSLOvLuM20HiO5ftHAb0LJNfUhz9c-MSIoFe8xMxkfU6dM%3D&amp;ppt=None&amp;ppn=None&amp;ssid=6xfrkvqa8g0000001753945961232"" rel=""noopener noreferrer"" target=""_blank"" title=""Noise Crew 1.38 Round Display with Bluetooth Calling, Metallic finish, IP68 Rating Smartwatch"">Noise Crew 1.38 Round Display with Bluetooth Calling, M...</a>","<div class=""Nx9bqj"">₹1,099</div>","<div class=""XQDdHH"">4.2<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
"<a class=""wjcEIp"" href=""/noise-icon-buz-1-69-display-bluetooth-calling-built-in-games-voice-assistant-smartwatch/p/itm0b0922f8a67cc?pid=SMWGGKT5FYQHNRJP&amp;lid=LSTSMWGGKT5FYQHNRJPUTS6NZ&amp;marketplace=FLIPKART&amp;store=ajy&amp;srno=b_1_7&amp;otracker=browse&amp;fm=organic&amp;iid=9477e65d-4113-4ece-8c74-0f7d4480d207.SMWGGKT5FYQHNRJP.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=6xfrkvqa8g0000001753945961232"" rel=""noopener noreferrer"" target=""_blank"" title='Noise Icon Buz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant Smartwatch'>Noise Icon Buz 1.69"" Display with Bluetooth Calling, Bu...</a>","<div class=""Nx9bqj"">₹1,099</div>","<div class=""XQDdHH"">4.1<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
"<a class=""wjcEIp"" href=""/noise-colorfit-icon-2-1-8-display-bluetooth-calling-ai-voice-assistant-smartwatch/p/itm9d8957f65c72e?pid=SMWGEH7WC8F4VKKZ&amp;lid=LSTSMWGEH7WC8F4VKKZXFMRNR&amp;marketplace=FLIPKART&amp;store=ajy&amp;spotlightTagId=default_BestsellerId_ajy&amp;srno=b_1_8&amp;otracker=browse&amp;fm=organic&amp;iid=9477e65d-4113-4ece-8c74-0f7d4480d207.SMWGEH7WC8F4VKKZ.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=6xfrkvqa8g0000001753945961232"" rel=""noopener noreferrer"" target=""_blank"" title=""Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch"">Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...</a>","<div class=""Nx9bqj"">₹999</div>","<div class=""XQDdHH"">4.1<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
"<a class=""wjcEIp"" href=""/noise-crew-1-38-round-display-bluetooth-calling-metallic-finish-ip68-rating-smartwatch/p/itmd8d386d4779d2?pid=SMWGKXEEBEFMGJQY&amp;lid=LSTSMWGKXEEBEFMGJQYKKT8MC&amp;marketplace=FLIPKART&amp;store=ajy&amp;srno=b_1_9&amp;otracker=browse&amp;fm=organic&amp;iid=9477e65d-4113-4ece-8c74-0f7d4480d207.SMWGKXEEBEFMGJQY.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=6xfrkvqa8g0000001753945961232"" rel=""noopener noreferrer"" target=""_blank"" title=""Noise Crew 1.38 Round Display with Bluetooth Calling, Metallic finish, IP68 Rating Smartwatch"">Noise Crew 1.38 Round Display with Bluetooth Calling, M...</a>","<div class=""Nx9bqj"">₹1,099</div>","<div class=""XQDdHH"">4.2<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
"<a class=""wjcEIp"" href=""/noise-icon-buzz-1-69-display-bluetooth-calling-built-in-games-voice-assistant-smartwatch/p/itmfb38271d722a7?pid=SMWGAU62XCAESACH&amp;lid=LSTSMWGAU62XCAESACHPEGSDQ&amp;marketplace=FLIPKART&amp;store=ajy&amp;srno=b_1_10&amp;otracker=browse&amp;fm=organic&amp;iid=9477e65d-4113-4ece-8c74-0f7d4480d207.SMWGAU62XCAESACH.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=6xfrkvqa8g0000001753945961232"" rel=""noopener noreferrer"" target=""_blank"" title='Noise Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant Smartwatch'>Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...</a>","<div class=""Nx9bqj"">₹1,099</div>","<div class=""XQDdHH"">4.1<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
"<a class=""wjcEIp"" href=""/noise-colorfit-icon-2-1-8-display-bluetooth-calling-ai-voice-assistant-smartwatch/p/itm6832a8732a227?pid=SMWGRFRYRKTTDZVJ&amp;lid=LSTSMWGRFRYRKTTDZVJBGGVED&amp;marketplace=FLIPKART&amp;store=ajy&amp;srno=b_1_11&amp;otracker=browse&amp;fm=organic&amp;iid=en_DgkKauqe0gJLHvjPsqBY75TcowCT1VN1WLqsnUOHHm3xRe91919Qpb4ZthFv0s9Q_LL68AFxxL1STT1TZhl_tInfEY2D5bWfIUmTlXs_oiU%3D&amp;ppt=None&amp;ppn=None&amp;ssid=6xfrkvqa8g0000001753945961232"" rel=""noopener noreferrer"" target=""_blank"" title=""Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch"">Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...</a>","<div class=""Nx9bqj"">₹999</div>","<div class=""XQDdHH"">4.1<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
"<a class=""wjcEIp"" href=""/noise-icon-4-stunning-1-96-amoled-display-metallic-finish-bt-calling-smartwatch/p/itmb7800093c5c95?pid=SMWGWZVPQWQSG2UH&amp;lid=LSTSMWGWZVPQWQSG2UHVIFBFI&amp;marketplace=FLIPKART&amp;store=ajy&amp;srno=b_1_12&amp;otracker=browse&amp;fm=organic&amp;iid=en_DgkKauqe0gJLHvjPsqBY75TcowCT1VN1WLqsnUOHHm1tdxdovwv3XqEmF5prJs-ISipAow9hXuuKqUVm3ghZDGVkv0XZFiOX7bbXdlao_f8%3D&amp;ppt=None&amp;ppn=None&amp;ssid=6xfrkvqa8g0000001753945961232"" rel=""noopener noreferrer"" target=""_blank"" title=""Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metallic Finish, BT Calling Smartwatch"">Noise Icon 4 with Stunning 1.96'' AMOLED Display, Metal...</a>","<div class=""Nx9bqj"">₹1,699</div>","<div class=""XQDdHH"">4.1<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
"<a class=""wjcEIp"" href=""/noise-colorfit-icon-2-1-8-display-bluetooth-calling-ai-voice-assistant-smartwatch/p/itmd4cd819eadb9f?pid=SMWGEH7VGYMGCP3V&amp;lid=LSTSMWGEH7VGYMGCP3VOS17SZ&amp;marketplace=FLIPKART&amp;store=ajy&amp;spotlightTagId=default_BestsellerId_ajy&amp;srno=b_1_13&amp;otracker=browse&amp;fm=organic&amp;iid=9477e65d-4113-4ece-8c74-0f7d4480d207.SMWGEH7VGYMGCP3V.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=6xfrkvqa8g0000001753945961232"" rel=""noopener noreferrer"" target=""_blank"" title=""Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch"">Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...</a>","<div class=""Nx9bqj"">₹999</div>","<div class=""XQDdHH"">4.1<img class=""Rza2QY"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
